WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (1256355.07457719 5003285.16906075),1016,AIMS,1124,3,Matau Place,"3 Matau Place, Fernhill, Queenstown",Queenstown-Lakes District,,,,,,3,,,,Matau,Place,,,,Fernhill,Queenstown,Thoroughfare,Current,168.6367943,-45.04047818,Matau,,,Fernhill,Queenstown,Matau Place,"3 Matau Place, Fernhill, Queenstown",1256355.075,5003285.169
POINT (1770621.09941219 5878716.36176129),1860979,AIMS,6453009,10,Glory Way,"10 Glory Way, Buckland, Pukekohe",Auckland,,,,,,10,,,,Glory,Way,,,,Buckland,Pukekohe,Thoroughfare,Current,174.9231263,-37.22246085,Glory,,,Buckland,Pukekohe,Glory Way,"10 Glory Way, Buckland, Pukekohe",1770621.099,5878716.362
POINT (1258645.52736293 5003927.49623033),2478,AIMS,2499,70,Park Street,"70 Park Street, Queenstown",Queenstown-Lakes District,,,,,,70,,,,Park,Street,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6662283,-45.0358189,Park,,,Queenstown,Queenstown,Park Street,"70 Park Street, Queenstown",1258645.527,5003927.496
POINT (1259815.87273323 5004483.99703856),2759,AIMS,1558809,7A,Star Lane,"7A Star Lane, Queenstown",Queenstown-Lakes District,,,,,,7,A,,,Star,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6814209,-45.03138593,Star,,,Queenstown,Queenstown,Star Lane,"7A Star Lane, Queenstown",1259815.873,5004483.997
POINT (1260112.42189775 5004832.18804801),3054,AIMS,3022,5,Gum Lane,"5 Gum Lane, Queenstown",Queenstown-Lakes District,,,,,,5,,,,Gum,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6854101,-45.02840262,Gum,,,Queenstown,Queenstown,Gum Lane,"5 Gum Lane, Queenstown",1260112.422,5004832.188
POINT (1263672.51391978 5005861.88861325),3926,AIMS,3863,36,Lake Avenue,"36 Lake Avenue, Frankton, Queenstown",Queenstown-Lakes District,,,,,,36,,,,Lake,Avenue,,,,Frankton,Queenstown,Thoroughfare,Current,168.7311645,-45.02085597,Lake,,,Frankton,Queenstown,Lake Avenue,"36 Lake Avenue, Frankton, Queenstown",1263672.514,5005861.889
POINT (1270551.64543427 5015404.92586295),4653,AIMS,1947420,69,Manse Road,"69 Manse Road, Arrowtown",Queenstown-Lakes District,,,,,,69,,,,Manse,Road,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8244772,-44.9384062,Manse,,,Arrowtown,Arrowtown,Manse Road,"69 Manse Road, Arrowtown",1270551.645,5015404.926
POINT (1264553.43339039 5004961.97750468),4324,AIMS,4230,48,Riverside Road,"48 Riverside Road, Frankton, Queenstown",Queenstown-Lakes District,,,,,,48,,,,Riverside,Road,,,,Frankton,Queenstown,Thoroughfare,Current,168.7417147,-45.02935147,Riverside,,,Frankton,Queenstown,Riverside Road,"48 Riverside Road, Frankton, Queenstown",1264553.433,5004961.978
POINT (1271082.498964 5014766.05646691),4800,AIMS,4694,14,Shaw Street,"14 Shaw Street, Arrowtown",Queenstown-Lakes District,,,,,,14,,,,Shaw,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8307717,-44.94438765,Shaw,,,Arrowtown,Arrowtown,Shaw Street,"14 Shaw Street, Arrowtown",1271082.499,5014766.056
POINT (1271547.51474177 5015096.98954912),5239,AIMS,5116,10,Suffolk Street,"10 Suffolk Street, Arrowtown",Queenstown-Lakes District,,,,,,10,,,,Suffolk,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8368656,-44.9416313,Suffolk,,,Arrowtown,Arrowtown,Suffolk Street,"10 Suffolk Street, Arrowtown",1271547.515,5015096.99
POINT (1271816.70786799 5014882.37698348),5263,AIMS,5140,14,Devon Street,"14 Devon Street, Arrowtown",Queenstown-Lakes District,,,,,,14,,,,Devon,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8401293,-44.94368237,Devon,,,Arrowtown,Arrowtown,Devon Street,"14 Devon Street, Arrowtown",1271816.708,5014882.377
POINT (1271488.03784369 5015094.34137975),5286,AIMS,5163,16,Suffolk Street,"16 Suffolk Street, Arrowtown",Queenstown-Lakes District,,,,,,16,,,,Suffolk,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.836112,-44.94162762,Suffolk,,,Arrowtown,Arrowtown,Suffolk Street,"16 Suffolk Street, Arrowtown",1271488.038,5015094.341
POINT (1271468.29819557 5014995.83651676),5314,AIMS,5185,1,Kent Street,"1 Kent Street, Arrowtown",Queenstown-Lakes District,,,,,,1,,,,Kent,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8357984,-44.9425029,Kent,,,Arrowtown,Arrowtown,Kent Street,"1 Kent Street, Arrowtown",1271468.298,5014995.837
